B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,M1,M2,M3,M4,M5,M6,M7,M8,B_mean,R_mean,M_mean,SMB_ENT,Q4_OrgSize
5.0,4.0,1.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,,3.8823529411764706,3.875,2,10000+
5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.2222222222222223,1.8823529411764706,1.375,1,100-499
5.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.7222222222222223,2.823529411764706,2.5,2,1000-4999
4.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.611111111111111,3.4705882352941178,3.125,1,100-499
1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,1.8888888888888888,3.411764705882353,3.375,1,<100
5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,4.111111111111111,1.9411764705882353,2.75,1,100-499
1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,5.0,4.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.2777777777777777,3.823529411764706,4.75,1,<100
2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.8333333333333333,3.0588235294117645,3.75,2,1000-4999
2.0,1.0,1.0,4.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.7222222222222223,3.5294117647058822,3.125,2,1000-4999
5.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,2.888888888888889,3.0,2.375,1,500-999
4.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.111111111111111,3.3529411764705883,3.375,1,500-999
4.0,3.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.111111111111111,2.411764705882353,2.75,2,1000-4999
